.START
..refdes	device	value	tolerance	comment	footprint	quantity
R29	RESISTOR	150	0.5%	Pol. cur. m. d. slightly higher in config A	1206	1
R3	RESISTOR	47	unknown	unknown	1206	1
R30	RESISTOR	150	0.5%	Pol. cur. m. d. slightly higher in config A	1206	1
R31	RESISTOR	150	0.5%	Polarisation current mirror degen	1206	1
R32	RESISTOR	150	0.5%	Polarisation current mirror degen	1206	1
R33	RESISTOR	150	0.5%	Polarisation current mirror degen	1206	1
R34	RESISTOR	150	0.5%	Polarisation current mirror degen	1206	1
R4	RESISTOR	47	unknown	unknown	1206	1
R41	RESISTOR	unknown	unknown	unknown	1206	1
R42	RESISTOR	unknown	unknown	unknown	1206	1
R45	RESISTOR	150	0.5%	unknown	0805	1
R46	RESISTOR	150	0.5%	unknown	0805	1
R47	RESISTOR	150	0.5%	unknown	0805	1
R48	RESISTOR	150	0.5%	unknown	0805	1
R49	RESISTOR	150	0.5%	unknown	0805	1
R5	RESISTOR	47	unknown	unknown	1206	1
R50	RESISTOR	150	0.5%	unknown	0805	1
R51	RESISTOR	150	0.5%	unknown	0805	1
R52	RESISTOR	150	0.5%	unknown	0805	1
R53	RESISTOR	999meg	5%	Adjusts the current mirror	1206	1
R54	RESISTOR	999meg	5%	Adjusts the current mirror	1206	1
R55	RESISTOR	999meg	5%	Adjusts the current mirror	1206	1
R56	RESISTOR	999meg	5%	Adjusts the current mirror	1206	1
R57	RESISTOR	999meg	5%	Adjusts the current mirror	1206	1
R58	RESISTOR	999meg	5%	Adjusts the current mirror	1206	1
R59	RESISTOR	999meg	5%	Adjusts the current mirror	1206	1
R6	RESISTOR	47	unknown	unknown	1206	1
R60	RESISTOR	999meg	5%	Adjusts the current mirror	1206	1
R61	RESISTOR	unknown	unknown	unknown	1206	1
R62	RESISTOR	unknown	unknown	unknown	unknown	1
R63	RESISTOR	unknown	unknown	unknown	unknown	1
R64	RESISTOR	unknown	unknown	unknown	unknown	1
R65	RESISTOR	unknown	10%	Reduces the Q1 dissipation	1206	1
R66	RESISTOR	unknown	10%	Reduces the Q2 dissipation	1206	1
R67	RESISTOR	unknown	10%	Reduces the Q1 dissipation	1206	1
R68	RESISTOR	unknown	10%	Reduces the Q2 dissipation	1206	1
R7	RESISTOR	47	unknown	unknown	1206	1
R70	RESISTOR	unknown	unknown	Input current offset compensation	unknown	1
R71	RESISTOR	2200	unknown	Output VBE multiplier	1206	1
R72	RESISTOR	2200	unknown	Output VBE multiplier	1206	1
R73	RESISTOR	unknown	unknown	(Current) negative feedback high	2512	1
R74	RESISTOR	unknown	unknown	Output impedance	2512	1
R75	RESISTOR	unknown	/	Q7 emitor for single stage & R73 R74 connection	1206	1
R76	RESISTOR	unknown	/	Q8 emitor for single stage & R73 R74 connection	1206	1
R77	RESISTOR	unknown	unknown	Q7 Q8 emitor for external darlington	1206	1
R78	RESISTOR	unknown	unknown	Minimum load guarantee	1206	1
R79	RESISTOR	unknown	unknown	unknown	1206	1
R8	RESISTOR	47	unknown	unknown	1206	1
R80	RESISTOR	unknown	unknown	Input stage offset comp circuit	1206	1
R81	RESISTOR	unknown	unknown	Input stage offset comp circuit	1206	1
R82	RESISTOR	unknown	unknown	Input stage offset comp circuit	1206	1
R9	RESISTOR	12.7K	2%	R/2 polarisation current	1206	1
U1	7812	unknown	unknown	Positive voltage regulator if needed	unknown	1
U2	7912	unknown	unknown	Negative voltage regulator if needed	TO220	1
.END
